Activation,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.1618691588785047,SUCCESS,0.008462328058678303,PLANE,SMALL,RIGID,STRING,FRONT,FAR,1785545947.362,
0.15977830562153603,FAILURE,0.022403345906977772,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785492148.625,
0.15674074074074074,FAILURE,0.014893976813404743,PLANE,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785544955.614,
0.1561433447098976,FAILURE,0.03561600962872214,CYLINDER,SMALL,RIGID,STRING,FRONT,CLOSE,1785465679.424,
0.15584854631507777,SUCCESS,0.012385474425546807,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785461284.810,
0.15098400984009838,SUCCESS,0.0038667091582331274,ASYM_RECT,SMALL,RIGID,FREE,FRONT,FAR,1785484864.536,
0.15086625086625086,FAILURE,0.01825679182286092,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,FAR,1785494239.869,
0.1478714859437751,FAILURE,0.020413523371634625,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785497697.817,
0.1452991452991453,FAILURE,0.023550374658890386,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,CENTER,1785493954.185,
0.14276729559748425,FAILURE,0.025081871766931114,ASYM_RECT,SMALL,RIGID,STRING,FRONT,FAR,1785484708.576,
0.14246323529411764,FAILURE,0.030325781672975914,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785465511.231,
0.1421949556918882,SUCCESS,0.018707493643617106,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,FAR,1785464276.079,
0.14076346284935243,FAILURE,0.012396686822018723,PLANE,SMALL,RIGID,STRING,FRONT,CENTER,1785545165.805,
0.14013745704467354,FAILURE,0.028509793497002563,CYLINDER,LARGE,RIGID,STRING,FRONT,CLOSE,1785486560.785,
0.13653381642512077,FAILURE,0.019870075004911295,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,FAR,1785494167.804,
