Symmetry,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.8494929006085195,SUCCESS,0.021550984436319958,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,FAR,1785480611.949,
0.8485558157689306,SUCCESS,0.024887540294666676,PLANE,SMALL,RIGID,FREE,FRONT,CENTER,1785545281.667,
0.8484503478810881,SUCCESS,0.0140266487460984,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,FAR,1785484351.234,
0.8455862977602109,SUCCESS,0.011386530141487144,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,FAR,1785487852.085,
0.8438802083333334,FAILURE,0.027746076568458986,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785497817.790,
0.839067422810334,SUCCESS,0.0246852543307637,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785457144.476,
0.8382470119521914,SUCCESS,0.03578438414406439,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785455211.938,
0.8363295880149814,SUCCESS,0.017850241095284727,TRI_PRISM,SMALL,RIGID,FREE,FRONT,FAR,1785481219.089,
0.8351297405189622,SUCCESS,0.017273952913151584,CYLINDER,LARGE,RIGID,STRING,FRONT,CLOSE,1785486635.899,
0.8333333333333334,SUCCESS,0.027069254421681888,ASYM_RECT,SMALL,RIGID,STRING,FRONT,CLOSE,1785482924.083,
0.8327552986512524,FAILURE,0.029589385433849785,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CENTER,1785499990.550,
0.8324497991967872,FAILURE,0.027888565572153322,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785497697.817,
0.8315098468271337,FAILURE,0.046472235465409906,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546845.047,
0.8312084993359895,SUCCESS,0.028141722413767306,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482240.241,
0.8292892156862746,SUCCESS,0.03553768447446837,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785481068.977,
0.8289073305670815,FAILURE,0.026690920169721487,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,CENTER,1785488377.105,
0.8264449722882027,FAILURE,0.03028415165603782,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785492148.625,
0.82625,SUCCESS,0.020456790593507107,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497972.545,
0.8247981545559401,FAILURE,0.03551329418467942,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785483904.923,
0.823973063973064,SUCCESS,0.02493680175992514,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,FAR,1785484275.604,
0.8233731739707836,FAILURE,0.018297543408682813,PLANE,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785545006.284,
0.8222222222222222,SUCCESS,0.019547775627244756,CYLINDER,LARGE,RIGID,FREE,FRONT,CENTER,1785490136.421,
0.8203626220362623,SUCCESS,0.02350305469303197,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785488061.179,
0.8187022900763359,SUCCESS,0.022389399486520776,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785482831.108,
0.8168044077134988,SUCCESS,0.013852350921048103,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785456365.349,
0.8161006289308177,SUCCESS,0.022223251774481676,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785459737.963,
